Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R111,3.3Ω,R0402,38.862,-4.7889,0.0,bottom
R112,3.3Ω,R0402,38.227,-7.8369,0.0,bottom
R113,3.3Ω,R0402,38.735,-9.3609,0.0,bottom
R114,3.3Ω,R0402,38.227,-12.0279,0.0,bottom
R115,3.3kΩ,R0402,-2.413,1.778,-90.0,top
R116,10kΩ,R0402,27.94,-16.0919,0.0,top
R117,10Ω,R0402,26.289,-11.9009,0.0,top
R12,51Ω,R0603,16.256,-1.4869,90.0,top
R2,0Ω,R0402,26.035,5.334,-90.0,top
R26,100Ω,R0402,-3.048,-10.3769,180.0,top
R27,100Ω,R0402,31.623,-27.2679,-90.0,top
R28,100Ω,R0402,-3.048,-8.8529,0.0,top
R3,0Ω,R0402,24.638,5.334,-90.0,top
R31,220Ω,R0603,-2.54,-24.638,180.0,top
R32,220Ω,R0603,-2.54,-22.987,0.0,top
R4,0Ω,R0402,22.987,5.334,-90.0,top
R5,0Ω,R0402,21.336,5.461,-90.0,top
R6,10kΩ,R0402,42.672,-17.7429,0.0,top
R7,10kΩ,R0402,-1.143,-26.162,0.0,top
R8,6.8kΩ,R0805,56.134,-10.795,90.0,top
U1,MMZ1005B601CT000,L0402,18.415,-22.9499,90.0,top
U19,TPLP5907MFX-3.3,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,12.954,-25.9979,180.0,top
U2,MMZ1005B601CT000,L0402,0.0,0.5451,-90.0,top
U23,CMX994E1,CMX994E1,33.14525,-10.37865,180.0,top
U39,MMZ1005B601CT000,L0402,19.05,-24.9819,0.0,top
U4,MGA-68563,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,52.959,-12.319,0.0,top
U44,RFSW8000TR7,DFN-8_L2.0-W2.0-P0.50-BL-EP,49.784,-21.5529,90.0,top
X2,26MHz,OSC-SMD_4P-L3.2-W2.5-BL,0.381,-3.2649,-90.0,top
